country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,memorial_attendance
Albania,2878000,5612,517,5569,-1,160,1282,87,14252
American Samoa,55000,150,420,131,-15,,27,3,520
Andorra,77000,173,458,168,-3,,14,3,383
Angola,32866000,167638,213,154043,-4,8291,24860,2421,371823
Anguilla,15000,65,268,56,-13,,11,1,156
Antigua,98000,483,212,463,2,6,39,7,876
Argentina,45196000,156765,292,154786,1,3080,25252,1976,355842
Armenia,2963243,10652,280,10590,-1,189,2051,130,22723
Aruba,107000,1103,99,1082,,34,112,14,3062
Australia,25540000,69146,376,67975,,1435,7038,754,107233
Austria,9066000,21550,430,21095,-2,291,1821,292,31937
Azerbaijan,10067000,1592,6614,1522,6,55,393,14,3286
Azores,243000,802,307,792,4,19,112,15,1654
Bahamas,393000,1795,232,1692,,24,252,28,3426
Bangladesh,164689000,330,506735,325,3,24,152,6,750
Barbados,287000,2428,122,2357,-2,35,176,30,4317
Belarus,9408000,6238,1524,6173,1,151,1307,83,9635
Belgium,11493000,25396,460,24984,,451,2079,338,43943
Belize,398000,2630,157,2536,-4,49,514,58,6454
Benin,12123000,14360,932,13003,-3,495,1830,235,29761
Bermuda,62000,450,160,387,-10,3,80,5,798
Bolivia,11673000,29397,403,28968,3,1497,7578,459,84794
Bonaire,21000,123,175,120,-1,,17,2,311
Bosnia and Herzegovina,3281000,1049,3201,1025,-2,12,171,16,1677
Botswana,2375000,2302,1094,2171,-2,105,341,44,4854
Brazil,211959000,897056,239,888581,1,29330,121295,12531,1627323
Britain,64919000,141412,496,130904,-3,1396,15180,1615,211199
Bulgaria,6951000,2605,2712,2563,2,73,666,54,5608
Burkina Faso,20903000,2027,12413,1684,-6,57,237,48,3601
Burundi,11891000,15734,778,15276,4,874,2486,271,47890
Cambodia,16719000,1199,14388,1162,,47,629,18,1869
Cameroon,26679994,43542,637,41887,,1301,5778,582,84320
Canada,37742000,115661,329,114574,,1565,13674,1194,167289
Cape Verde,556000,2284,250,2226,-2,79,370,35,5419
Cayman Islands,66000,289,241,274,4,1,40,3,620
Central African Republic,4830000,2962,1774,2723,-1,223,285,62,11920
Chad,16426000,904,20155,815,-5,71,76,20,3240
Chile,19458000,85273,235,82967,3,2702,14639,959,180281
Chuuk,50000,41,1515,33,-20,,9,2,87
Colombia,50883000,188368,273,186369,1,5410,28633,2316,498494
Congo Dem. Republic of,89561000,240982,417,214940,-4,9862,20950,4161,1009808
Congo Republic of,5518000,9192,667,8277,,368,1096,117,21820
Cook Islands,18000,226,88,205,9,7,27,3,398
Costa Rica,5094000,32103,160,31853,,942,3791,439,70877
Côte d’Ivoire,26378000,12269,2277,11584,-3,281,1613,323,29851
Croatia,4058000,4802,859,4723,-3,42,421,58,6727
Cuba,11327000,94873,121,93909,-1,3310,9399,1418,178495
Curaçao,164000,2019,83,1965,-3,35,222,25,4510
Cyprus,1207000,2754,445,2713,1,55,485,41,4808
Czech Republic,10694000,15439,701,15245,-1,210,1328,212,25075
Denmark,5825000,14573,404,14407,-1,167,1173,174,20384
Dominica,72000,426,178,404,-2,4,51,10,966
Dominican Republic,10848000,41590,283,38386,1,1127,7230,560,110445
Ecuador,17643000,101387,178,99381,2,3332,19096,1214,298855
El Salvador,6486000,39751,166,39145,-2,831,4724,671,81220
Equatorial Guinea,1412450,2415,608,2325,3,106,328,35,5785
Estonia,1329000,3986,339,3925,-1,53,547,56,5932
Eswatini,1160000,3362,365,3180,-2,121,360,80,7398
Ethiopia,114964000,10823,10848,10598,1,455,2378,215,20676
Falkland Islands,3000,15,214,14,,,3,1,17
Faroe Islands,53000,129,421,126,-1,,25,4,170
Fiji,896000,3169,300,2982,-3,135,529,82,9476
Finland,5532000,18190,307,18009,-1,182,2101,280,24160
France,65313000,131754,498,131071,1,2624,16143,1568,226879
French Guiana,299000,2960,105,2853,4,126,449,47,9636
Gabon,2236384,4509,514,4351,-1,120,580,60,9311
Gambia,2417000,271,9553,253,11,9,37,5,577
Georgia,3717000,18104,208,17900,,320,3243,214,33204
Germany,83157000,164486,514,161931,-1,3102,15146,2087,246904
Ghana,31073000,147481,220,140996,1,6131,15721,2271,284637
Gibraltar,34000,147,262,130,1,,16,2,171
Greece,10710000,28152,382,28005,,569,4132,355,43748
Greenland,56000,144,418,134,-7,,32,5,297
Grenada,113000,579,216,523,-1,13,76,10,1116
Guadeloupe,400000,8290,50,8015,-2,168,734,120,16992
Guam,169000,770,224,754,1,26,177,9,1627
Guatemala,17916000,40334,450,39784,-1,1001,6537,869,95333
Guinea,13133000,1078,12604,1042,3,107,138,27,2687
Guinea-Bissau,1968000,211,9791,201,9,17,55,4,729
Guyana,787000,3351,245,3211,2,126,500,51,9263
Haiti,11403000,20254,591,19295,-2,833,2698,270,41559
Honduras,9905000,22891,436,22697,,624,4069,437,61078
Hong Kong,7509000,5594,1350,5563,,178,1233,66,9219
Hungary,9770000,21060,474,20626,-2,361,1836,291,36666
Iceland,367000,392,989,371,-1,6,55,7,658
India,1380004000,53105,26805,51484,5,1567,7813,978,151288
Indonesia,273524000,29865,9462,28909,3,931,4719,524,50876
Ireland,6860000,7104,996,6887,1,52,1189,120,11709
Israel,9444000,1957,4919,1920,5,49,341,31,3653
Italy,60245000,250868,241,249821,,3928,38630,2874,503363
Jamaica,2961000,11361,276,10712,-3,224,1368,151,23145
Japan,126476000,212683,598,211494,,1910,66206,2964,273856
Kazakhstan,18777000,17330,1092,17189,-1,207,4091,262,29324
Kenya,53771000,29545,1935,27785,-3,988,3587,651,62736
Kiribati,119000,137,1017,117,-6,2,30,3,426
Korea Republic of,51840000,103366,505,102631,1,2031,46337,1268,125510
Kosovo,1810000,263,7098,255,-3,7,110,8,708
Kosrae,7000,14,583,12,-29,,3,1,40
Kyrgyzstan,6524000,5266,1259,5182,-1,105,1289,86,10161
Latvia,1908000,2200,900,2120,-1,33,332,31,3227
Lesotho,2142000,4312,572,3748,-11,197,539,94,8471
Liberia,5058000,7272,749,6752,-2,479,737,150,19341
Liechtenstein,38000,92,432,88,-1,,4,1,137
Lithuania,2794000,2907,973,2871,-3,41,436,44,4340
Luxembourg,626000,2153,295,2123,,,223,31,3853
Macao,685000,394,1793,382,11,9,123,5,845
Madagascar,27691000,38430,802,34517,-6,1971,6720,871,104470
Madeira,254000,1167,220,1153,,15,130,19,1868
Malawi,19130000,102060,208,92170,-3,6136,8485,1718,285054
Malaysia,32657000,5637,5886,5548,2,179,1650,123,11611
Mali,20251000,362,60997,332,1,16,61,7,710
Malta,515000,783,678,760,2,13,106,10,1245
Marshall Islands,59000,134,527,112,-20,8,21,4,462
Martinique,375000,4793,79,4726,1,97,596,57,9903
Mauritius,1229000,1960,637,1929,3,55,228,27,4707
Mayotte,273000,198,1508,181,1,7,51,4,349
