country_or_territory,population,peak_pubs,ratio_1_publisher_to,av_pubs,inc_over,no_bptzd,av_pio_pubs,no_of_congs,av_bible_studies,memorial_attendance
Albania,2873000,5632,513,5599,1,130,1287,87,3891,15626
American Samoa,55000,155,382,144,10,7,32,3,187,668
Andorra,77000,174,456,169,1,,15,3,108,372
Angola,33934000,161286,226,150298,-2,4757,24717,2538,204608,419197
Anguilla,15000,61,273,55,-2,,11,1,55,206
Antigua,99000,481,215,460,-1,5,36,7,373,1549
Argentina,45606000,157734,291,156776,1,2851,30532,1960,126810,411392
Armenia,3110000,11351,279,11150,2,181,2139,136,3786,32022
Aruba,107000,1122,97,1108,2,25,120,14,851,3523
Australia,25799000,70951,368,70034,3,998,7507,748,22183,117731
Austria,9044000,21768,418,21616,2,242,1928,290,7515,36810
Azerbaijan,10119000,1663,6193,1634,7,88,417,15,2258,4345
Azores,237000,809,296,800,1,15,112,15,543,2045
Bahamas,397000,1838,227,1746,3,74,252,28,2009,5439
Bangladesh,166303000,332,507021,328,1,13,142,6,451,1210
Barbados,288000,2408,120,2394,2,52,180,30,2027,7857
Belarus,9350000,6208,1514,6175,,124,1373,83,5096,12764
Belgium,11521000,26012,447,25768,3,512,2217,338,11347,49040
Belize,405000,2665,157,2572,1,59,482,54,2354,9187
Benin,12451000,14350,946,13155,1,438,1830,242,15245,37572
Bermuda,62000,447,154,403,4,,77,5,210,1068
Bolivia,11833000,29540,403,29351,1,861,7771,448,29103,102489
Bonaire,21000,127,181,116,-3,,18,2,83,357
Bosnia and Herzegovina,3263000,1041,3180,1026,,11,170,16,357,1808
Botswana,2397000,2396,1058,2265,4,42,330,45,3111,6952
Brazil,213993000,913479,236,906356,2,20406,136453,12441,862968,2184856
Britain,65247000,140094,476,137168,5,2483,16294,1611,46464,248800
Bulgaria,6897000,2675,2615,2637,3,54,672,56,1893,7386
Burkina Faso,21497000,1961,12638,1701,1,35,234,49,1811,4528
Burundi,12255000,16965,778,15750,3,578,2513,272,21522,40590
Cambodia,16946000,1135,15023,1128,-3,31,591,18,958,2740
Cameroon,27244000,43526,652,41779,,795,5840,530,32778,98823
Canada,38068000,118533,324,117435,2,1407,14780,1193,48893,207336
Cape Verde,562000,2293,247,2273,2,46,370,35,2439,8830
Cayman Islands,66000,279,245,269,-2,,35,3,158,703
Central African Republic,4920000,2502,2095,2349,-14,69,267,65,3550,13586
Chad,16915000,822,21826,775,-5,33,80,21,827,3684
Chile,19678000,87144,228,86251,4,2054,17857,955,55443,268126
Chuuk,54000,35,1742,31,-6,,9,2,75,175
Colombia,51266000,190223,272,188624,1,4958,29270,2302,180965,632726
Congo Dem. Republic of,92378000,205045,458,201736,-6,6581,20097,4084,257986,1079733
Congo Republic of,5657000,8358,703,8045,-3,357,1138,116,11100,25022
Cook Islands,18000,223,91,198,-3,4,25,3,126,565
Costa Rica,5193000,32704,160,32449,2,773,3943,436,27249,80874
Côte d’Ivoire,27054000,11980,2330,11613,,183,1577,310,19053,40133
Croatia,4082000,4815,856,4766,1,49,421,57,1052,8146
Cuba,11317000,93952,121,93426,-1,1371,9150,1401,40140,191438
Curaçao,165000,2046,82,2018,3,86,218,25,1569,6447
Cyprus,1216000,2866,432,2818,4,36,521,41,1353,5588
Czech Republic,10725000,15549,696,15418,1,158,1362,212,5523,29999
Denmark,5843000,14588,403,14516,1,150,1210,174,4087,22041
Dominica,72000,427,176,409,1,,51,10,426,1433
Dominican Republic,10954000,40542,285,38495,,654,7285,546,45469,150128
Ecuador,17888000,101608,178,100485,1,2436,19908,1205,101029,357448
El Salvador,6518000,39578,168,38907,-1,529,4789,662,21359,93265
Equatorial Guinea,1451000,2721,606,2395,3,69,328,31,3515,9028
Estonia,1330000,4003,336,3961,1,34,584,55,1707,7253
Eswatini,1172000,3285,369,3179,,44,365,80,3309,8725
Ethiopia,117876000,11030,10838,10876,3,282,2365,189,9758,26482
Falkland Islands,4000,17,286,14,,,3,1,4,17
Faroe Islands,53000,131,414,128,2,,22,4,74,179
Fiji,903000,3426,294,3071,3,35,522,82,3177,12411
Finland,5534000,18225,306,18091,,146,2238,278,9951,27975
France,65466000,136000,486,134619,3,2236,17349,1546,52320,251477
French Guiana,306000,3015,104,2946,3,86,499,46,4465,11326
Gabon,2279000,4471,523,4360,,88,577,59,4749,14452
Gambia,2487000,282,9529,261,3,2,40,5,355,806
